Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Viet Nam,VNM,"That nghiep, tong cong (% tong so luc luong lao dong)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.86,1.91,1.93,1.93,1.93,2.87,2.29,2.33,2.26,2.76,2.12,2.25,2.14,2.13,2.08,2.03,1.8,1.74,1.11,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,2.04,2.27
Viet Nam,VNM,Ty le ngheo doi theo dau nguoi o muc ngheo doi quoc gia (% dan so),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,17.2,,13.5,,9.8,,6.7,,
Viet Nam,VNM,Chi so GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,35.4,,,,,37,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8,,35.3,,35.7,,
Viet Nam,VNM,Ty le nguoi ngheo tinh theo dau nguoi o muc chi tieu $1.90 mot ngay (PPP) (% dan so),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,,,,,31.4,,,,,37,,25.8,,18.8,,14.1,,4,,2.7,,2.6,,1.8,,1.8,,
Viet Nam,VNM,Phan thu nhap cua 20% thap nhat,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,8,,,,,7.5,,7.2,,7.2,,7.4,,6.5,,7.1,,7.1,,6.9,,6.7,,
Viet Nam,VNM,"Ty le suy dinh duong, can nang theo tuoi (% tre em duoi 5 tuoi)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,36.6,40.6,,,,35.8,31.1,26.7,,23.4,24.6,23.8,22.7,22.1,22.6,20.2,17.5,11.7,16.8,16.2,15.3,14.5,14.1,13.8,13.4,,,
Viet Nam,VNM,So ca sinh no co nhan vien y te co tay nghe tham gia (% tong so),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,58.8,,85,,,,83.8,,,,,91.9,,,93.8,,,,,,
Viet Nam,VNM,"Tiem phong, benh soi (% tre em tu 12-23 thang tuoi)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,1,3,4,19,39,36,56,76,88,88,90,93,96,95,96,96,96,94,97,98,96,93,97,95,93,83,92,97,98,96,96,98,97,97,99,97,97,95,
Viet Nam,VNM,"Ty le tu vong duoi 5 tuoi (moi 1,000 tre em con song khi chao doi)",SH.DYN.MORT,,,,,86.3,85.6,85,84.3,83.7,82.9,82.1,81.3,80.3,79.1,77.9,76.6,75.1,73.4,71.7,70.1,68.5,66.9,65.4,64.1,62.7,61.3,59.7,57.9,55.9,53.6,51.3,48.8,46.3,43.7,41.3,38.9,36.7,34.7,32.8,31.2,29.7,28.5,27.3,26.4,25.6,24.9,24.3,23.9,23.5,23.1,22.9,22.6,22.3,22.1,21.8,21.5,21.2,20.8,20.4,19.9,
Viet Nam,VNM,"Ty le nhiem HIV, tong cong (% dan so tu 15-49 tuoi)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
